"filename", "language", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\App.js", "JavaScript", 63, 0, 0, 13, 11, 87
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\ExternalScreens\Landingpage.js", "JavaScript", 147, 0, 0, 4, 6, 157
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\ExternalScreens\Loginpage.js", "JavaScript", 233, 0, 0, 25, 13, 271
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\ExternalScreens\Signuppage.js", "JavaScript", 342, 0, 0, 33, 18, 393
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\InternalScreens\DocumentScreen.js", "JavaScript", 22, 0, 0, 1, 4, 27
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\InternalScreens\HistoryScreen.js", "JavaScript", 22, 0, 0, 1, 3, 26
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\InternalScreens\HomeScreen.js", "JavaScript", 24, 0, 0, 2, 4, 30
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\InternalScreens\ProfileScreen.js", "JavaScript", 22, 0, 0, 1, 3, 26
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\InternalScreens\SearchScreen.js", "JavaScript", 22, 0, 0, 1, 3, 26
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\app.json", "JSON", 0, 15, 0, 16, 0, 31
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\assets\logo.svg", "XML", 0, 0, 9, 0, 1, 10
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\assets\undraw_completed_03xt 1.svg", "XML", 0, 0, 47, 0, 1, 48
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\babel.config.js", "JavaScript", 6, 0, 0, 0, 1, 7
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\config.js", "JavaScript", 3, 0, 0, 2, 6, 11
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\context\AuthContext.js", "JavaScript", 0, 0, 0, 0, 2, 2
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\firebase.js", "JavaScript", 14, 0, 0, 3, 3, 20
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\metro.config.js", "JavaScript", 4, 0, 0, 1, 2, 7
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\navigation\tabs.js", "JavaScript", 245, 0, 0, 2, 7, 254
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\package-lock.json", "JSON", 0, 34147, 0, 0, 1, 34148
"c:\Users\dell\Desktop\Projects\Nexifia\Nexifia\package.json", "JSON", 0, 45, 0, 0, 1, 46
"Total", "-", 1169, 34207, 56, 105, 90, 35627